"Production Type","2022 [MW]","2023 [MW]"
"Biomass","410","410"
"Fossil Brown coal/Lignite","7250","7160"
"Fossil Coal-derived gas","380","380"
"Fossil Gas","1240","1240"
"Fossil Hard coal","1200","1200"
"Fossil Oil","0","0"
"Fossil Oil shale","n/e","n/e"
"Fossil Peat","n/e","n/e"
"Geothermal","n/e","n/e"
"Hydro Pumped Storage","1172","1172"
"Hydro Run-of-river and poundage","356","340"
"Hydro Water Reservoir","753","772"
"Marine","n/e","n/e"
"Nuclear","4040","4040"
"Other","0","0"
"Other renewable","410","410"
"Solar","2053","2083"
"Waste","100","100"
"Wind Offshore","n/e","n/e"
"Wind Onshore","339","339"
"Total Grand capacity","19703","19646"
